Pallet#,Lab,Lab Srt,Label Name,Cntr,Cntr Srt,Container Desc,Pack,Pack Srt,Pack Desc,Var,Variety Desc,Ran,Ran Srt,Ranch Name,Blk,Pick Date,YTD Pick,Batch,Swampers,Crew,Cld Stg,QUALITY CODE,Var Srt,Crw Srt,REC ADDED,REGION,BATCH SEQ
181600,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50560,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.057000,S,1
181601,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50560,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.057000,S,2
181602,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50560,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.058000,S,3
181603,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50559,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.058000,S,1
181604,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50559,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.058000,S,2
181605,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50559,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.058000,S,3
181606,144,SV-S,SV SO2 PAD,97,CBCM,2LYR C/S MAXG,447,TX20,1X20 T&G,264,TIMPSON (tm),24,,TEJON RANCH,3,2024-08-13,10.0,38800,10000000,440,3,2Z,TMP,HP,2024-08-14-08.00.00.058000,S,1
181607,13,SVO,SV-ORGANIC*,36,CB24,C/B 16X24,67,PL21,PLAIN-21,277,SPARKLE/SV28-10,54,,FDIC,4,2024-08-13,80.0,44531,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.058000,S,1
181609,13,SVO,SV-ORGANIC*,36,CB24,C/B 16X24,67,PL21,PLAIN-21,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,80.0,44532,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.058000,R,1
181610,188,HBOC,HEB ORG CHEP*,36,CB24,C/B 16X24,429,HO19,HEB ORG BAG,277,SPARKLE/SV28-10,54,,FDIC,12,2024-08-13,16.0,38779,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.058000,S,1
181611,188,HBOC,HEB ORG CHEP*,36,CB24,C/B 16X24,429,HO19,HEB ORG BAG,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,90.0,38776,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.059000,R,1
181612,188,HBOC,HEB ORG CHEP*,36,CB24,C/B 16X24,429,HO19,HEB ORG BAG,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,74.0,38776,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.059000,R,2
181613,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50561,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.059000,S,1
181614,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50561,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.059000,S,2
181615,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50562,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.059000,S,1
181616,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50562,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.059000,S,2
181617,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,155,B3/4,BULK 3/4,264,TIMPSON (tm),24,,TEJON RANCH,4,2024-08-13,1.0,38801,10000000,440,0, Y,TMP,HP,2024-08-14-08.00.00.059000,S,1
181618,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,264,TIMPSON (tm),24,,TEJON RANCH,3,2024-08-13,1.0,38803,10000000,440,0, Y,TMP,HP,2024-08-14-08.00.00.060000,S,1
181619,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,155,B3/4,BULK 3/4,264,TIMPSON (tm),24,,TEJON RANCH,3,2024-08-13,1.0,38777,10000000,440,0, Y,TMP,HP,2024-08-14-08.00.00.060000,S,1
181620,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,264,TIMPSON (tm),24,,TEJON RANCH,4,2024-08-13,1.0,38778,10000000,440,0, Y,TMP,HP,2024-08-14-08.00.00.060000,S,1
